pool,holdout,drop,metric,reference,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges,each_other_reference_percentile,one_another_reference_percentile
full,item,none,idf_jaccard,fixed_total,57,57,-0.2222595163466952,-0.0207754790944173,0.243608063698687,0.3015233631763615,0.0350402621334876,False,False,True,0.0465589496082586,False,False,True,0.8928,0.9556
full,item,none,idf_jaccard,within_block,57,57,-0.2222595163466952,-0.0207754790944173,0.243608063698687,0.3015233631763615,0.0350402621334876,False,False,True,0.0465589496082586,False,False,True,0.8318,0.92905
full,item,none,jaccard,fixed_total,57,57,-0.3021301057547009,-0.0429940769423199,0.2468139350461535,0.33611711560615,0.0397758759773642,False,False,True,0.0455444433596636,False,False,True,0.9006,0.92855
full,item,none,jaccard,within_block,57,57,-0.3021301057547009,-0.0429940769423199,0.2468139350461535,0.33611711560615,0.0397758759773642,False,False,True,0.0455444433596636,False,False,True,0.88425,0.91655
full,item,phon,dice,fixed_total,57,57,-0.3420364024030674,-0.0637695027991284,0.2414090255158174,0.3654150265634983,0.0398214706489885,False,False,True,0.0471814127014014,False,False,True,0.79055,0.8304
full,item,phon,dice,within_block,57,57,-0.3420364024030674,-0.0637695027991284,0.2414090255158174,0.3654150265634983,0.0398214706489885,False,False,True,0.0471814127014014,False,False,True,0.7955,0.8364
full,item,phon,hamming,fixed_total,57,56,-0.1223509933774835,0.0001655629139072,0.1060787164163031,0.1480966995100414,0.0277015021805847,False,False,True,0.0310127604587303,False,False,True,0.72185,0.78045
full,item,phon,hamming,within_block,57,56,-0.1223509933774835,0.0001655629139072,0.1060787164163031,0.1480966995100414,0.0277015021805847,False,False,True,0.0310127604587303,False,False,True,0.7346,0.7875
full,item,phon,idf_jaccard,fixed_total,57,57,-0.2175450732600474,-0.0235286800464203,0.2415189591248779,0.3002975900410682,0.0326733683833081,False,False,True,0.044808197142363,False,False,True,0.8687,0.942
full,item,phon,idf_jaccard,within_block,57,57,-0.2175450732600474,-0.0235286800464203,0.2415189591248779,0.3002975900410682,0.0326733683833081,False,False,True,0.044808197142363,False,False,True,0.81685,0.9208
full,item,phon,jaccard,fixed_total,57,57,-0.2965173654604263,-0.0497004546334117,0.2414895545078232,0.3318169040215072,0.0322300913334905,False,False,True,0.0387212001777128,False,False,True,0.85245,0.8933
full,item,phon,jaccard,within_block,57,57,-0.2965173654604263,-0.0497004546334117,0.2414895545078232,0.3318169040215072,0.0322300913334905,False,False,True,0.0387212001777128,False,False,True,0.8495,0.896
full,item,sem,dice,fixed_total,57,57,-0.3795671420162765,-0.0590568233371687,0.347897955666546,0.41943618879438,0.2198423775013826,False,False,True,0.220334011298714,False,False,True,0.9994,0.99945
full,item,sem,dice,within_block,57,57,-0.3795671420162765,-0.0590568233371687,0.347897955666546,0.41943618879438,0.2198423775013826,False,False,True,0.220334011298714,False,False,True,0.99895,0.9994
full,item,sem,hamming,fixed_total,57,56,-0.1145127118644068,0.0070974576271185,0.11758302328786,0.1542372881355932,0.0778084952459694,False,False,True,0.0820457833815626,False,False,True,0.999,0.9993
full,item,sem,hamming,within_block,57,56,-0.1145127118644068,0.0070974576271185,0.11758302328786,0.1542372881355932,0.0778084952459694,False,False,True,0.0820457833815626,False,False,True,0.99845,0.99925
full,item,sem,idf_jaccard,fixed_total,57,57,-0.2149659593733178,-0.0365088598133418,0.2621096261726076,0.3435955564785754,0.1009254477276652,False,False,True,0.1046450139058629,False,False,True,0.9982,0.9987
full,item,sem,idf_jaccard,within_block,57,57,-0.2149659593733178,-0.0365088598133418,0.2621096261726076,0.3435955564785754,0.1009254477276652,False,False,True,0.1046450139058629,False,False,True,0.99715,0.9988
full,item,sem,jaccard,fixed_total,57,57,-0.3246148030875185,-0.0455568788865469,0.31362711788231,0.4015684805943025,0.1734350661593181,False,False,True,0.1717785814251597,False,False,True,0.99985,0.99995
full,item,sem,jaccard,within_block,57,57,-0.3246148030875185,-0.0455568788865469,0.31362711788231,0.4015684805943025,0.1734350661593181,False,False,True,0.1717785814251597,False,False,True,0.9999,1.0
full,item,synt,dice,fixed_total,57,57,-0.4628568900035974,-0.0022460414874038,0.2203270494514947,0.4143936848636614,0.0405532506274427,False,False,True,0.0498193004170413,False,False,True,0.79285,0.83235
full,item,synt,dice,within_block,57,57,-0.4628568900035974,-0.0022460414874038,0.2203270494514947,0.4143936848636614,0.0405532506274427,False,False,True,0.0498193004170413,False,False,True,0.7337,0.79065
full,item,synt,hamming,fixed_total,57,56,-0.1278846153846153,0.0322115384615384,0.0957160725453407,0.1459974984365229,0.0356472795497185,False,False,True,0.0404549718574109,False,False,True,0.5802,0.6706
full,item,synt,hamming,within_block,57,56,-0.1278846153846153,0.0322115384615384,0.0957160725453407,0.1459974984365229,0.0356472795497185,False,False,True,0.0404549718574109,False,False,True,0.533075,0.630475
